test_id,participant_id,participant_name,test_number,start_time,end_time,jitter_ms,latency_ms,packet_loss_one_per_n,throughput_mbps,mos_score
340,3,Brenda,40,2025-04-23T23:40:20,2025-04-23T23:41:20,9,250,48,50,2
322,3,Brenda,22,2025-04-23T23:02:40,2025-04-23T23:03:40,2,1,27,300,2
143,1,Adalice,43,2025-05-05T22:51:00,2025-05-05T22:52:00,2,5,0,400,5
426,4,Robson,26,2025-04-24T22:56:09,2025-04-24T22:57:09,3,95,24,130,1
127,1,Adalice,27,2025-04-25T22:38:37,2025-04-25T22:39:37,4,130,0,310,1
427,4,Robson,27,2025-04-24T22:57:22,2025-04-24T22:58:22,4,130,0,310,2
222,2,Alisson,22,2025-04-22T23:35:50,2025-04-22T23:36:50,3,30,23,350,2
456,4,Robson,56,2025-05-04T23:17:50,2025-05-04T23:18:50,1,1,30,410,4
303,3,Brenda,3,2025-04-23T22:32:50,2025-04-23T22:33:50,7,200,25,150,2
141,1,Adalice,41,2025-05-05T22:48:30,2025-05-05T22:49:30,0,0,0,350,4
140,1,Adalice,40,2025-04-25T22:55:32,2025-04-25T22:56:32,9,250,48,50,1
217,2,Alisson,17,2025-04-22T23:26:30,2025-04-22T23:27:30,4,130,0,310,2
257,2,Alisson,57,2025-05-02T23:34:35,2025-05-02T23:35:35,2,30,0,460,4
157,1,Adalice,57,2025-05-05T23:19:15,2025-05-05T23:20:15,3,5,26,305,3
351,3,Brenda,51,2025-05-03T23:02:45,2025-05-03T23:03:45,0,0,30,380,3
468,4,Robson,68,2025-05-04T23:35:50,2025-05-04T23:36:50,0,0,28,330,4
418,4,Robson,18,2025-04-24T22:45:56,2025-04-24T22:46:56,6,200,26,70,1
259,2,Alisson,59,2025-05-02T23:37:00,2025-05-02T23:38:00,1,1,0,410,5
132,1,Adalice,32,2025-04-25T22:45:03,2025-04-25T22:46:03,3,30,23,350,1
170,1,Adalice,70,2025-05-05T23:39:40,2025-05-05T23:40:40,1,10,50,440,4
169,1,Adalice,69,2025-05-05T23:37:00,2025-05-05T23:38:00,1,1,0,410,5
102,1,Adalice,2,2025-04-25T22:07:02,2025-04-25T22:08:02,3,28,0,120,5
136,1,Adalice,36,2025-04-25T22:50:27,2025-04-25T22:51:27,5,70,21,220,1
450,4,Robson,50,2025-05-04T23:01:10,2025-05-04T23:02:10,3,5,35,310,3
464,4,Robson,64,2025-05-04T23:30:35,2025-05-04T23:31:35,0,0,35,350,4
419,4,Robson,19,2025-04-24T22:47:20,2025-04-24T22:48:20,7,90,33,120,1
101,1,Adalice,1,2025-04-25T22:05:50,2025-04-25T22:06:50,0,0,0,300,5
466,4,Robson,66,2025-05-04T23:33:25,2025-05-04T23:34:25,1,1,0,380,5
138,1,Adalice,38,2025-04-25T22:52:45,2025-04-25T22:53:45,2,140,34,80,1
452,4,Robson,52,2025-05-04T23:04:20,2025-05-04T23:05:20,1,1,0,500,5
349,3,Brenda,49,2025-05-03T22:58:40,2025-05-03T22:59:40,2,10,27,340,3
244,2,Alisson,44,2025-05-02T23:07:00,2025-05-02T23:08:00,3,1,0,390,5
250,2,Alisson,50,2025-05-02T23:23:25,2025-05-02T23:24:25,2,10,0,340,4
434,4,Robson,34,2025-04-24T23:06:05,2025-04-24T23:07:05,7,190,42,100,1
327,3,Brenda,27,2025-04-23T23:10:00,2025-04-23T23:11:00,4,130,0,310,4
338,3,Brenda,38,2025-04-23T23:37:50,2025-04-23T23:38:50,2,140,34,80,2
148,1,Adalice,48,2025-05-05T22:57:25,2025-05-05T22:58:25,3,25,0,360,3
363,3,Brenda,63,2025-05-03T23:29:25,2025-05-03T23:30:25,2,1,0,390,5
448,4,Robson,48,2025-05-04T22:57:25,2025-05-04T22:58:25,3,25,0,360,3
227,2,Alisson,27,2025-04-22T23:43:10,2025-04-22T23:44:10,1,60,22,170,1
447,4,Robson,47,2025-05-04T22:56:10,2025-05-04T22:57:10,1,1,0,450,5
104,1,Adalice,4,2025-04-25T22:09:28,2025-04-25T22:10:28,5,70,22,80,3
329,3,Brenda,29,2025-04-23T23:13:40,2025-04-23T23:14:40,8,175,0,250,2
204,2,Alisson,4,2025-04-22T23:04:00,2025-04-22T23:05:00,5,220,35,180,1
256,2,Alisson,56,2025-05-02T23:33:25,2025-05-02T23:34:25,1,1,0,380,5
326,3,Brenda,26,2025-04-23T23:08:20,2025-04-23T23:09:20,3,95,24,130,1
149,1,Adalice,49,2025-05-05T22:58:40,2025-05-05T22:59:40,2,10,27,340,3
202,2,Alisson,2,2025-04-22T23:00:20,2025-04-22T23:01:20,2,35,22,230,2
304,3,Brenda,4,2025-04-23T22:35:10,2025-04-23T22:36:10,5,70,22,80,1
150,1,Adalice,50,2025-05-05T23:01:10,2025-05-05T23:02:10,3,5,35,310,3
467,4,Robson,67,2025-05-04T23:34:35,2025-05-04T23:35:35,2,30,0,460,4
260,2,Alisson,60,2025-05-02T23:39:40,2025-05-02T23:40:40,1,10,50,440,4
428,4,Robson,28,2025-04-24T22:58:32,2025-04-24T22:59:32,7,85,36,170,1
346,3,Brenda,46,2025-05-03T22:54:50,2025-05-03T22:55:50,0,0,0,420,5
